itemID	titleID	item_year	title	subject	taxa_identified	language	pages	BHL_upload
86998	39250	1901	Contributions to Canadian biology and fisheries.  	Marine biology	393	ENG	88	2009
68863	26639	1876	The Fisheries of Gloucester from the first catch by the English in 1623, to the centennial year, 1876. 		7	ENG	96	2009
220600	127356	1880	Hydrographic sheet, no. 1470, 1880	Marine invertebrates	0	ENG	1	2017
177795	98312	1906	Annual report of the Fishery Board for Scotland.		101	ENG	808	2015
40250	10005	1883	Faune malacologique terrestre, fluviatile et marine des environs de Brest (Finistère)		589	FRE	114	2008
77203	32831	1856	Chapters on the common things of the sea-coast.	Marine animals	380	ENG	364	2009
104599	49512	1880	Beiträge zur Meeresfauna der Insel Mauritius und der Seychellen	Marine animals	2164	GER	194	2011
107355	50697	1874	Report on deep-sea dredging operations in the Gulf of St. Lawrence with notes on the present condition of the marine fisheries and oyster beds of part of the region	Marine biology	163	ENG	39	2011
40692	10077	1919	Report of the United States Commissioner of Fisheries for the fiscal year ... with appendixes		270	ENG	448	2009
63218	10543	1879	Manual of conchology, structural and systematic : with illustrations of the species	Marine invertebrates	2534	ENG	642	2009
177141	98462	1916	H 6504-6553	Marine biology	1		103	2015
51454	14887	1876	Zur Histologie der Radiolarien : Untersuchungen über den Bau und die Entwicklung der Sphaerozoiden und Thalassicolliden.	Marine zooplankton	67	GER	122	2009
100920	46533	1948	Fishery statistics of the United States		224	ENG	312	2010
126948	62445	1887	Marine algae of New Brunswick	Marine algae	51	ENG	12	2012
18367	2093	1834	The natural history of the order Cetacea, and the oceanic inhabitants of the Arctic regions.	Marine animals	178	ENG	408	2008
22625	3940	1956	Fishery bulletin. United States Fish and Wildlife Service.		536	ENG	592	2008
108901	51153	1907	Report of the Department of Fisheries of the Commonwealth of Pennsylvania. 		7	ENG	92	2011
177963	99097	1881	Original logbooks of the Fish Hawk, station numbers 1030 to 1073	Marine invertebrates	2		89	2015
35046	8245	1902	L.M.B.C. memoirs on typical British marine plants and animals	Marine biology	41	ENG	72	2008
220736	127421	1881	Hydrographic sheet, no. 1507, 1881-1882	Marine invertebrates	0	ENG	1	2017
